"","location","year_over_year","value_2020"
"1","Western Europe",400,1
"2","Northern Africa",143.18,44
"3","Caribbean",109.49,6216
"4","Middle Africa",108.32,6470
"5","South America",107.54,54776
"6","North America (excluding Canada)",104.11,49246
"7","Australia",102.22,4558
"8","Eastern Africa",102.12,11663
"9","Eastern Europe",101.06,1888
"10","Eastern Asia",100.84,4287
"11","Northern Europe",100.55,2883
"12","Western Africa",100.04,15665
"13","Southern Europe",99.3,4427
"14","Central America",99.08,16250
"15","Southern Africa",97.76,2501
"16","Western Asia",94.89,5888
"17","Southeastern Asia",80.58,1143
"18","Central Asia",23.76,1006
"19","Southern Asia",NA,NA
"20","Melanesia",NA,793
"21","New Zealand",NA,0
