"","location","share_2020","share_2021","share_change"
"1","Chile",11.16,12.69,1.53
"2","Canada",44.84,45.87,1.02999999999999
"3","Côte d’Ivoire",0.24,0.67,0.43
"4","Dominican Republic",2.96,3.14,0.18
"5","Guyana",0.01,0.19,0.18
"6","Mexico",4.86,5.02,0.159999999999999
"7","Colombia",0.48,0.55,0.0700000000000001
"8","Ghana",0.54,0.58,0.0399999999999999
"9","United States",21.1,21.14,0.0399999999999991
"10","Tanzania",1.18,1.21,0.03
"11","South Africa",0.63,0.66,0.03
"12","Nicaragua",0.25,0.28,0.03
"13","Spain",0.04,0.05,0.01
"14","Kenya",0,0.01,0.01
"15","United Kingdom",0.02,0.03,0.01
"16","Guatemala",0.2,0.2,0
"17","Honduras",0.01,0.01,0
"18","Bolivia",0.11,0.11,0
"19","Romania",0.28,0.28,0
"20","Russia",0.42,0.42,0
"21","Ireland",0.01,0.01,0
"22","Serbia",0.01,0.01,0
"23","Papua New Guinea",0.38,0.38,0
"24","Mongolia",0.09,0.08,-0.01
"25","Greenland",0.03,0.02,-0.01
"26","Ecuador",1.03,1.02,-0.01
"27","Finland",1.1,1.09,-0.01
"28","Bulgaria",0.3,0.27,-0.03
"29","Sweden",0.35,0.32,-0.03
"30","Namibia",0.45,0.41,-0.04
"31","Portugal",0.88,0.83,-0.05
"32","Botswana",0.24,0.18,-0.06
"33","Mali",3.99,3.93,-0.0600000000000001
"34","China",2.11,2.05,-0.0600000000000001
"35","Suriname",0.47,0.38,-0.09
"36","Brazil",5.68,5.57,-0.109999999999999
"37","Zambia",4.95,4.84,-0.11
"38","Argentina",4.58,4.43,-0.15
"39","Peru",5.34,5.09,-0.25
"40","Turkey",2.85,2.6,-0.25
"41","Burkina Faso",1.34,0.98,-0.36
"42","Burundi",NA,NA,NA
"43","Ethiopia",NA,0.01,NA
"44","Madagascar",0,NA,NA
"45","Malawi",NA,NA,NA
"46","Mozambique",0,NA,NA
"47","Uganda",NA,NA,NA
"48","Zimbabwe",NA,NA,NA
"49","Central African Republic",NA,NA,NA
"50","Democratic Republic of the Congo",NA,NA,NA
"51","Algeria",NA,NA,NA
"52","Egypt",NA,NA,NA
"53","Morocco",NA,NA,NA
"54","Sudan",NA,NA,NA
"55","Guinea",0,NA,NA
"56","Liberia",NA,NA,NA
"57","Mauritania",NA,1.61,NA
"58","Niger",NA,NA,NA
"59","Nigeria",NA,NA,NA
"60","Senegal",0.45,NA,NA
"61","Cuba",NA,NA,NA
"62","Jamaica",NA,NA,NA
"63","Costa Rica",NA,NA,NA
"64","Panama",NA,NA,NA
"65","French Guiana",NA,NA,NA
"66","Paraguay",NA,NA,NA
"67","Venezuela",NA,NA,NA
"68","Kazakhstan",NA,NA,NA
"69","Kyrgyzstan",NA,NA,NA
"70","Japan",NA,NA,NA
"71","South Korea",NA,NA,NA
"72","Cambodia",NA,NA,NA
"73","Indonesia",0,NA,NA
"74","Malaysia",NA,NA,NA
"75","Philippines",NA,0.43,NA
"76","Pakistan",NA,NA,NA
"77","Sri Lanka",NA,NA,NA
"78","Armenia",NA,NA,NA
"79","Saudi Arabia",NA,NA,NA
"80","Yemen",NA,NA,NA
"81","Czech Republic",NA,NA,NA
"82","Poland",NA,NA,NA
"83","Slovakia",NA,NA,NA
"84","Ukraine",NA,NA,NA
"85","Iceland",NA,NA,NA
"86","Norway",NA,NA,NA
"87","Albania",NA,NA,NA
"88","Greece",NA,NA,NA
"89","Kosovo",NA,NA,NA
"90","Macedonia",NA,NA,NA
"91","Austria",NA,NA,NA
"92","Germany",NA,0,NA
"93","Switzerland",NA,NA,NA
"94","Fiji",NA,0.04,NA
"95","Solomon Islands",NA,NA,NA
