location,value_2020,number_of_companies_2020,value_2021,number_of_companies_2021
AFRICA,"36,343",108,"37,099",100
Eastern Africa,"11,663",27,"11,910",27
Burundi,x,1,x,1
Ethiopia,x,2,21,3
Kenya,9,4,21,4
Madagascar,3,3,x,3
Malawi,x,1,x,1
Mozambique,–,–,x,1
Tanzania,"2,232",10,"2,368",8
Uganda,x,2,x,1
Zambia,"9,398",6,"9,480",6
Zimbabwe,x,1,x,1
Middle Africa,"6,470",9,"7,008",8
Central African Republic,x,1,x,1
Democratic Republic of the Congo,x,8,x,7
Northern Africa,44,8,63,8
Algeria,x,2,x,1
Egypt,x,2,x,2
Morocco,x,3,x,4
Sudan,x,1,x,1
Southern Africa,"2,501",40,"2,445",35
Botswana,462,9,355,8
Namibia,851,16,799,13
South Africa,"1,188",17,"1,292",16
Western Africa,"15,665",48,"15,672",44
Burkina Faso,"2,544",17,"1,925",15
Côte d’Ivoire,464,9,"1,320",9
Ghana,"1,020",11,"1,146",10
Guinea,4,3,x,3
Liberia,x,2,x,2
Mali,"7,576",12,"7,694",13
Mauritania,x,4,"3,163",5
Niger,x,3,x,2
Nigeria,x,2,x,2
Senegal,849,5,x,3
AMERICAS (EXCLUDING CANADA),"126,489",595,"133,084",576
Caribbean,"6,216",9,"6,806",10
Cuba,x,1,x,1
Dominican Republic,"5,611",7,"6,156",8
Jamaica,x,1,x,1
Central America,"16,250",21,"16,100",19
Costa Rica,x,1,x,1
Guatemala,382,6,398,6
Honduras,22,5,24,3
Nicaragua,475,6,557,6
Panama,x,3,x,3
North America (excluding Canada),"49,246",419,"51,270",398
Mexico,"9,214",148,"9,840",132
United States,"40,032",312,"41,430",300
South America,"54,776",225,"58,907",222
Argentina,"8,682",57,"8,688",53
Bolivia,200,6,222,7
Brazil,"10,775",33,"10,911",40
Chile,"21,175",60,"24,867",62
Colombia,905,27,"1,081",25
Ecuador,"1,948",15,"1,995",12
French Guiana,x,5,x,4
Guyana,28,10,373,11
Paraguay,x,1,x,1
Peru,"10,123",79,"9,979",73
Suriname,898,4,753,5
Venezuela,x,1,x,1
ASIA,"12,327",58,"11,074",59
Central Asia,"1,006",6,239,6
Kazakhstan,x,2,x,3
Kyrgyzstan,x,4,x,3
Eastern Asia,"4,287",24,"4,323",25
China,"4,011",8,"4,017",9
Japan,x,3,x,3
Mongolia,177,11,163,11
South Korea,x,2,x,2
Southeastern Asia,"1,143",14,921,14
Cambodia,x,2,x,2
Indonesia,6,6,x,5
Malaysia,x,1,x,1
Philippines,x,5,843,6
Southern Asia,x,2,x,2
Pakistan,x,1,x,1
Sri Lanka,x,1,x,1
Western Asia,"5,888",17,"5,587",16
Armenia,x,2,x,1
Saudi Arabia,x,1,x,2
Turkey,"5,400",13,"5,086",12
Yemen,x,1,x,1
EUROPE,"9,199",83,"9,206",85
Eastern Europe,"1,888",21,"1,908",19
Bulgaria,563,6,526,6
Czech Republic,x,2,x,2
Poland,x,1,x,1
Romania,531,3,544,3
Russia,791,4,827,4
Slovakia,x,2,x,1
Ukraine,x,3,x,2
Northern Europe,"2,883",42,"2,899",44
Finland,"2,093",14,"2,144",17
Greenland,64,4,47,4
Iceland,x,1,x,1
Ireland,18,10,18,9
Norway,x,5,x,6
Sweden,664,15,624,15
United Kingdom,39,3,56,3
Southern Europe,"4,427",25,"4,396",26
Albania,x,1,x,1
Greece,x,2,x,3
Kosovo,x,1,x,1
Macedonia,x,1,x,1
Portugal,"1,665",6,"1,629",6
Serbia,15,8,10,9
Spain,81,9,107,8
Western Europe,1,6,4,6
Austria,x,1,x,1
Germany,x,3,3,3
Switzerland,x,2,x,2
OCEANIA,"5,351",59,"5,477",62
Australia,"4,558",52,"4,659",57
Melanesia,793,9,x,8
Fiji,x,3,82,3
Papua New Guinea,720,5,735,4
Solomon Islands,x,1,x,1
New Zealand,–,–,x,1
TOTAL FOR CANADIAN MINING ASSETS ABROAD,"189,709",766,"195,939",748
Canada,"85,074","1,088","89,882","1,075"
TOTAL FOR CANADIAN MINING ASSETS,"274,783","1,405","285,821","1,412"
